Bronx 421A Exempt Properties as of FINAL Roll FY'16/17,,,,,,,,,,,,,,
Neighborhood Name and Descriptive Data is as of Final 16/17,,,,,,,,,,,,,,
"Unit information first from RPAD, if missing then from VISION.",,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE, RESIDENTIAL UNITS , COMMERCIAL UNITS , TOTAL UNITS , LAND SQUARE FEET , GROSS SQUARE FEET ,YEAR BUILT
,,,,,,,,,,,,,,
2,BATHGATE                 ,03  3-FAMILY                                ,1,3030,157,C0,410 EAST 183 STREET                      ,10458,3,0,3,2000,3654,2005
2,BATHGATE                 ,03  3-FAMILY                                ,1,3030,158,C0,412 EAST 183 STREET                      ,10458,3,0,3,1978,3654,2005
2,BATHGATE                 ,03  3-FAMILY                                ,1,3037,103,C0,2135 WASHINGTON AVENUE                   ,10457,3,0,3,1701,3450,2006
2,BATHGATE                 ,03  3-FAMILY                                ,1,3037,104,C0,465 EAST 181 STREET                      ,10457,3,0,3,1095,2779,2006
2,BATHGATE                 ,03  3-FAMILY                                ,1,3037,105,C0,463 EAST 181 STREET                      ,10457,3,0,3,1095,2779,2006
2,BATHGATE                 ,03  3-FAMILY                                ,1,3037,106,C0,461 EAST 181 STREET                      ,10457,3,0,3,1095,2779,2006
2,BATHGATE                 ,03  3-FAMILY                                ,1,3037,107,C0,459 EAST 181 STREET                      ,10457,3,0,3,1095,2779,2006
2,BATHGATE                 ,03  3-FAMILY                                ,1,3037,108,C0,457 EAST 181 STREET                      ,10457,3,0,3,1419,2779,2006
2,BATHGATE                 ,03  3-FAMILY                                ,1,3037,109,C0,455 EAST 181 STREET                      ,10457,3,0,3,1687,3037,2006
2,BATHGATE                 ,03  3-FAMILY                                ,1,3037,110,C0,453 EAST 181 STREET                      ,10457,3,0,3,1687,3037,2006
2,BATHGATE                 ,03  3-FAMILY                                ,1,3041,5,C0,4684 PARK AVENUE                         ,10458,3,0,3,1296,3000,2004
2,BATHGATE                 ,03  3-FAMILY                                ,1,3041,6,C0,4686 PARK AVENUE                         ,10458,3,0,3,1404,3900,2004
2,BATHGATE                 ,08  RENTALS - REGULATED                     ,2,3040,3,D1,4648 PARK AVENUE                         ,10458,70,0,70,20000,80658,2004
2,BATHGATE                 ,08  RENTALS - REGULATED                     ,2,3050,70,D1,2277 BATHGATE AVENUE                     ,10457,89,0,89,19749,81676,2007
2,BATHGATE                 ,14  4-10 FAMILY RENTALS                     ,2A,2912,25,S4,3827 3 AVENUE                            ,10457,4,1,5,2000,5940,2011
2,BATHGATE                 ,14  4-10 FAMILY RENTALS                     ,2A,2912,26,S4,3825 3 AVENUE                            ,10457,4,1,5,2000,5940,2011
2,BAYCHESTER               ,03  3-FAMILY                                ,1,4716,118,C0,1122 EAST 222 STREET                     ,10469,3,0,3,3662,3028,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,4723,140,C0,3436 EASTCHESTER ROAD                    ,10469,3,0,3,3175,3322,2002
2,BAYCHESTER               ,03  3-FAMILY                                ,1,4723,141,C0,3438 EASTCHESTER ROAD                    ,10469,3,0,3,2235,3264,2002
2,BAYCHESTER               ,03  3-FAMILY                                ,1,4723,142,C0,3440 EASTCHESTER ROAD                    ,10469,3,0,3,2223,3324,2002
