Manhattan 421A Exempt Properties as of FINAL Roll FY'16/17,,,,,,,,,,,,,,
Neighborhood Name and Descriptive Data is as of Final 16/17,,,,,,,,,,,,,,
"Unit information first from RPAD, if missing then from VISION.",,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE, RESIDENTIAL UNITS , COMMERCIAL UNITS , TOTAL UNITS , LAND SQUARE FEET , GROSS SQUARE FEET ,YEAR BUILT
,,,,,,,,,,,,,,
1,ALPHABET CITY            ,08  RENTALS - REGULATED                     ,2,374,43,D9,353 EAST 4 STREET                        ,10009,33,0,33,6347,27226,2000
1,ALPHABET CITY            ,08  RENTALS - REGULATED                     ,2,377,30,D3,394 EAST 8 STREET                        ,10009,39,0,39,8068,28906,2000
1,ALPHABET CITY            ,08  RENTALS - REGULATED                     ,2,379,21,D6,424 EAST 10 STREET                       ,10009,23,1,24,3721,16215,1950
1,ALPHABET CITY            ,08  RENTALS - REGULATED                     ,2,386,3,D7,41 AVENUE B                              ,10009,22,1,23,4664,24156,1999
1,ALPHABET CITY            ,08  RENTALS - REGULATED                     ,2,401,24,D3,528 EAST 6 STREET                        ,10009,11,0,11,2433,8959,2008
1,ALPHABET CITY            ,09  RENTALS - UNREGULATED                   ,2,372,41,D7,310 2ND STREET                           ,10002,135,1,136,13646,131660,2013
1,ALPHABET CITY            ,09  RENTALS - UNREGULATED                   ,2,378,40,D9,401 EAST 8 STREET                        ,10009,33,0,33,4324,25955,2014
1,ALPHABET CITY            ,09  RENTALS - UNREGULATED                   ,2,406,48,D9,531 EAST 12 STREET                       ,10009,26,1,27,5163,29960,2009
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1203,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1204,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1205,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1206,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,0
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1207,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,0
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1208,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1209,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1210,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1211,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1212,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,0
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1213,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1214,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1215,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1216,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1217,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1218,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1219,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1220,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1221,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,0
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1222,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1223,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1224,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1225,R4,310 EAST HOUSTON STREET                  ,10002,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1407,R4,229 EAST 2 STREET                        ,10009,1,0,1,0,0,2008
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1408,R4,229 EAST 2 STREET                        ,10009,1,0,1,0,0,2008
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1409,R4,229 EAST 2 STREET                        ,10009,1,0,1,0,0,2008
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1410,R4,229 EAST 2 STREET                        ,10009,1,0,1,0,0,2008
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,384,1411,R4,229 EAST 2 STREET                        ,10009,1,0,1,0,0,2008
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,392,1113,R4,631 EAST 9 STREET                        ,10009,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,392,1114,R4,631 EAST 9 STREET                        ,10009,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,392,1115,R4,631 EAST 9 STREET                        ,10009,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,392,1116,R4,631 EAST 9 STREET                        ,10009,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,392,1117,R4,631 EAST 9 STREET                        ,10009,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,392,1118,R4,631 EAST 9 STREET                        ,10009,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,392,1119,R4,631 EAST 9 STREET                        ,10009,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,392,1120,R4,631 EAST 9 STREET                        ,10009,1,0,1,0,0,2005
1,ALPHABET CITY            ,11  CONDOMINIUMS                            ,2,392,1121,R4,631 EAST 9 STREET                        ,10009,1,0,1,0,0,2005
