BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS,BLOCK,LOT,BUILDING CLASS,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQ FT,GROSS SQ FT,YEAR BUILT
2,BATHGATE,03  3-FAMILY,1,3030,157,C0,410 EAST 183 STREET,10458,3,0,3,"2,000","3,654",2005
2,BATHGATE,03  3-FAMILY,1,3030,158,C0,412 EAST 183 STREET,10458,3,0,3,"1,978","3,654",2005
2,BATHGATE,03  3-FAMILY,1,3037,104,C0,465 EAST 181 STREET,10457,3,0,3,"1,095","2,779",2006
2,BATHGATE,03  3-FAMILY,1,3037,108,C0,457 EAST 181 STREET,10457,3,0,3,"1,419","2,779",2006
2,BATHGATE,03  3-FAMILY,1,3037,109,C0,455 EAST 181 STREET,10457,3,0,3,"1,687","3,037",2006
2,BATHGATE,03  3-FAMILY,1,3037,110,C0,453 EAST 181 STREET,10457,3,0,3,"1,687","3,037",2006
2,BATHGATE,03  3-FAMILY,1,3041,5,C0,4684 PARK AVENUE,10458,3,0,3,"1,296","3,000",2004
2,BATHGATE,03  3-FAMILY,1,3041,6,C0,4686 PARK AVENUE,10458,3,0,3,"1,404","3,900",2004
2,BATHGATE,07  RENTALS,2,3031,54,D1,4607 PARK AVENUE,10458,90,0,90,"15,816","78,270",2016
2,BATHGATE,07  RENTALS,2,3040,3,D1,4648 PARK AVENUE,10458,70,0,70,"20,000","80,658",2004
2,BATHGATE,07  RENTALS,2,3050,70,D1,2277 BATHGATE AVENUE,10457,89,0,89,"19,749","81,676",2007
2,BATHGATE,14  4-10 FAMILY RENTALS,2A,2912,25,S4,3827 3 AVENUE,10457,4,1,5,"2,000","5,940",2011
2,BATHGATE,14  4-10 FAMILY RENTALS,2A,2912,26,S4,3825 3 AVENUE,10457,4,1,5,"2,000","5,940",2011
2,BATHGATE,14  4-10 FAMILY RENTALS,2B,3053,71,C1,471 EAST 184 STREET,10458,8,0,8,"2,090","6,267",2015
2,BAYCHESTER,03  3-FAMILY,1,4781,41,C0,1943 ADEE AVENUE,10469,3,0,3,"2,423","2,841",2007
2,BAYCHESTER,03  3-FAMILY,1,4892,22,C0,3542 ELY AVENUE,10466,3,0,3,"2,030","3,396",2007
2,BAYCHESTER,03  3-FAMILY,1,4892,23,C0,3544 ELY AVENUE,10466,3,0,3,"1,859","3,456",2007
2,BAYCHESTER,03  3-FAMILY,1,4892,25,C0,3548 ELY AVENUE,10466,3,0,3,"2,650","3,188",2008
2,BAYCHESTER,03  3-FAMILY,1,4921,161,C0,3630 PALMER AVENUE,10466,3,0,3,"2,788","3,195",2004
2,BAYCHESTER,03  3-FAMILY,1,4921,162,C0,3632 PALMER AVENUE,10466,3,0,3,"2,272","3,352",2004
2,BAYCHESTER,03  3-FAMILY,1,4921,164,C0,3638 PALMER AVENUE,10466,3,0,3,"2,712","3,093",2004
2,BAYCHESTER,03  3-FAMILY,1,4968,50,C0,3950 SECOR AVENUE,10466,3,0,3,"2,801","3,170",2004
2,BAYCHESTER,03  3-FAMILY,1,5227,129,C0,3302 DE REIMER AVENUE,10475,3,0,3,"2,983","3,094",2006
2,BAYCHESTER,03  3-FAMILY,1,5227,130,C0,3304 DE REIMER AVENUE,10475,3,0,3,"1,950","3,094",2006
2,BAYCHESTER,03  3-FAMILY,1,5227,131,C0,3306 DE REIMER AVENUE,10475,3,0,3,"1,950","3,094",2006
2,BAYCHESTER,03  3-FAMILY,1,5227,132,C0,3308 DE REIMER AVENUE,10475,3,0,3,"2,783","3,094",2006
2,BAYCHESTER,03  3-FAMILY,1,5227,133,C0,3314 DE REIMER AVENUE,10475,3,0,3,"2,784","3,094",2004
2,BAYCHESTER,03  3-FAMILY,1,5227,134,C0,3316 DE REIMER AVENUE,10475,3,0,3,"1,950","3,094",2004
2,BAYCHESTER,03  3-FAMILY,1,5227,135,C0,3318 DE REIMER AVENUE,10475,3,0,3,"1,950","3,094",2004
2,BAYCHESTER,03  3-FAMILY,1,5227,136,C0,3320 DE REIMER AVENUE,10475,3,0,3,"1,950","3,094",2004
2,BAYCHESTER,03  3-FAMILY,1,5227,137,C0,3322 DE REIMER AVENUE,10475,3,0,3,"1,950","3,094",2004
2,BAYCHESTER,03  3-FAMILY,1,5227,138,C0,3324 DE REIMER AVENUE,10475,3,0,3,"1,950","3,094",2004
2,BAYCHESTER,03  3-FAMILY,1,5227,139,C0,3326 DE REIMER AVENUE,10475,3,0,3,"2,800","3,094",2004
2,BAYCHESTER,03  3-FAMILY,1,5655,137,C0,3529 MC OWEN AVENUE,10475,3,0,3,"5,000","3,113",2006
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1001,R3,2895 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1002,R3,2895 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1003,R3,2895 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1004,R3,2891 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1005,R3,2891 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1006,R3,2891 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1007,R3,2877 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1008,R3,2877 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1009,R3,2877 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1010,R3,2873 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1011,R3,2873 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1012,R3,2873 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1013,R3,2869 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1014,R3,2869 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1015,R3,2869 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1016,R3,2865 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1017,R3,2865 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1018,R3,2865 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1019,R3,2861 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1020,R3,2861 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1021,R3,2861 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1022,R3,2857 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1023,R3,2857 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1024,R3,2857 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1025,R3,2853 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1026,R3,2853 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1027,R3,2853 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1028,R3,2849 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1029,R3,2849 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1030,R3,2849 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1031,R3,2845 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1032,R3,2845 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1033,R3,2845 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1034,R3,2841 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1035,R3,2841 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1036,R3,2841 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1037,R3,2837 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1038,R3,2837 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1039,R3,2837 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1040,R3,2833 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1041,R3,2833 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1042,R3,2833 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1101,R3,2829 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1102,R3,2829 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1103,R3,2829 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1104,R3,2825 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1105,R3,2825 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1106,R3,2825 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1107,R3,2821 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1108,R3,2821 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1109,R3,2821 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1110,R3,2817 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1111,R3,2817 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1112,R3,2817 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1113,R3,2813 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1114,R3,2813 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1115,R3,2813 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1116,R3,2809 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1117,R3,2809 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1118,R3,2809 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1119,R3,2805 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1120,R3,2805 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1121,R3,2805 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1122,R3,2801 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1123,R3,2801 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,04  CONDOMINIUMS,1A,4795,1124,R3,2801 ELY AVENUE,10469,1,0,1,0,0,2008
2,BAYCHESTER,07  RENTALS,2,4727,24,C1,3530 MICKLE AVENUE,10469,28,0,28,"18,500","21,047",2017
2,BAYCHESTER,07  RENTALS,2,4899,3,D1,1835 NEEDHAM AVENUE,10466,47,0,47,"79,608","55,331",2001
2,BAYCHESTER,07  RENTALS,2,5228,12,D9,3310 PALMER AVENUE,10475,68,0,68,"35,400","69,443",1999
2,BAYCHESTER,07  RENTALS,2,5228,41,D9,3300 PALMER AVENUE,10475,67,0,67,"35,997","69,443",1999
2,BAYCHESTER,14  4-10 FAMILY RENTALS,2A,4716,15,C2,1120 EAST 222 STREET,10469,5,0,5,"3,742","3,866",2016
2,BAYCHESTER,14  4-10 FAMILY RENTALS,2A,4722,2,C3,3531 EASTCHESTER ROAD,10469,4,0,4,"1,745","4,552",2012
2,BAYCHESTER,14  4-10 FAMILY RENTALS,2A,4722,3,C3,3529 EASTCHESTER ROAD,10469,4,0,4,"1,671","4,248",2012
2,BAYCHESTER,14  4-10 FAMILY RENTALS,2B,4722,5,C1,3527 EASTCHESTER ROAD,10469,10,0,10,"3,062","8,440",2015
2,BAYCHESTER,14  4-10 FAMILY RENTALS,2A,4737,107,C3,3373 FENTON AVENUE,10469,4,0,4,"2,900","3,480",2002
2,BAYCHESTER,14  4-10 FAMILY RENTALS,2A,4737,108,C3,3371 FENTON AVENUE,10469,4,0,4,"2,100","3,405",2002
2,BAYCHESTER,14  4-10 FAMILY RENTALS,2B,4762,81,C1,1470 KNAPP STREET,10469,7,0,7,"3,300","6,466",2006
2,BAYCHESTER,14  4-10 FAMILY RENTALS,2B,4762,82,C1,1472 KNAPP STREET,10469,7,0,7,"4,204","8,264",2006
2,BAYCHESTER,14  4-10 FAMILY RENTALS,2A,5260,24,C2,3417 HUNTER AVENUE,10475,6,0,6,"5,000","4,160",2014
2,BAYCHESTER,14  4-10 FAMILY RENTALS,2A,5260,26,C2,3413 HUNTER AVENUE,10475,6,0,6,"5,200","4,160",2014
2,BAYCHESTER,35  CONDO PARKING,4,4795,1043,RP,2873 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1044,RP,2869 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1045,RP,2857 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1046,RP,2853 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1047,RP,2847 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1048,RP,2845 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1049,RP,2841 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1050,RP,2837 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1051,RP,2895 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1052,RP,2891 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1053,RP,2877 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1054,RP,2865 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1055,RP,2861 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1056,RP,2833 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1125,RP,2825 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1126,RP,2821 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1127,RP,2817 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1128,RP,2813 ELY AVENUE,10469,0,1,1,0,0,2008
2,BAYCHESTER,35  CONDO PARKING,4,4795,1129,RP,2809 ELY AVENUE,10469,0,1,1,0,0,2008
