Borough,lon,lat
Manhattan,-73.976319,40.7239951
Manhattan,-73.9788602,40.7203507
Manhattan,-73.9781323,40.7216292
Manhattan,-73.9766915,40.7237466
Manhattan,-73.9764307,40.7251386
Manhattan,-73.98254299999999,40.722807
Manhattan,-73.9826394,40.72471950000001
Manhattan,-73.9789174,40.7207509
Manhattan,-73.9797526,40.7286491
Manhattan,-73.9829466,40.7213743
Manhattan,-73.98249349999999,40.721444
Manhattan,-73.97882729999999,40.7258274
Manhattan,-73.9769149,40.7269978
Manhattan,-73.978201,40.72877099999999
Manhattan,-73.97645039999999,40.723326900000004
Manhattan,-73.9813862,40.7213897
Manhattan,-73.9789024,40.7247368
Manhattan,-73.9775105,40.723717
Manhattan,-73.9790656,40.7251596
Manhattan,-73.9775022,40.7268532
Manhattan,-73.97999999999999,40.728772
Manhattan,-74.00469389999999,40.7475394
Manhattan,-74.0048515,40.7482339
Manhattan,-74.0040123,40.7511032
Manhattan,-74.0023145,40.7506821
Manhattan,-74.003433,40.751734
Manhattan,-74.002973,40.7526579
Manhattan,-73.9946738,40.7460604
Manhattan,-73.9950319,40.745963
Manhattan,-73.9966639,40.7419449
Manhattan,-73.99583799999999,40.74275
Manhattan,-74.0070157,40.7455766
Manhattan,-74.0076644,40.7461265
Manhattan,-74.0047484,40.7482519
Manhattan,-74.006323,40.749334
Manhattan,-74.0046334,40.7482093
Manhattan,-74.0037737,40.7488234
Manhattan,-74.0038481,40.7514684
Manhattan,-74.0063783,40.7436578
Manhattan,-74.00543499999999,40.744482
Manhattan,-74.0058109,40.7445856
Manhattan,-74.0057313,40.7449787
Manhattan,-74.004434,40.74088
Manhattan,-74.000579,40.74586499999999
Manhattan,-74.00004609999999,40.7411013
Manhattan,-73.9989978,40.7423656
Manhattan,-73.9956988,40.7399203
Manhattan,-73.99771539999999,40.7407806
Manhattan,-73.9976009,40.7407499
Manhattan,-73.99570489999999,40.7414862
Manhattan,-73.9946992,40.7422547
Manhattan,-73.995492,40.742603
Manhattan,-73.9942173,40.742833
Manhattan,-73.99465909999999,40.74306259999999
Manhattan,-73.99392490000001,40.7430665
Manhattan,-73.99269869999999,40.7438514
Manhattan,-74.0014786,40.7519432
Manhattan,-74.000569,40.74812259999999
Manhattan,-73.99670739999999,40.7468602
Manhattan,-73.99775679999999,40.7380197
Manhattan,-74.00278689999999,40.74503929999999
Manhattan,-74.00163479999999,40.7414147
Manhattan,-73.9995507,40.7443483
Manhattan,-74.00735290000001,40.7455856
Manhattan,-74.00414959999999,40.7404243
Manhattan,-74.0041488,40.740424
Manhattan,-74.00259299999999,40.717182
Manhattan,-73.9933889,40.714833
Manhattan,-74.0091405,40.7122637
Manhattan,-74.0036527,40.7160929
Manhattan,-74.0047499,40.7168363
Manhattan,-74.0091396,40.715201
Manhattan,-74.0072003,40.7150751
Manhattan,-74.00643649999999,40.7148523
Manhattan,-74.0070262,40.714922
Manhattan,-74.00638289999999,40.7178984
Manhattan,-74.007526,40.714224
Manhattan,-74.006366,40.7145348
Manhattan,-73.98701249999999,40.7664424
Manhattan,-73.9962819,40.759363
Manhattan,-73.9962596,40.76064179999999
Manhattan,-73.99405999999999,40.7638295
Manhattan,-73.990066,40.7675883
Manhattan,-73.99046299999999,40.767969
Manhattan,-73.9898439,40.7682242
Manhattan,-73.9917321,40.7708506
Manhattan,-74.0003103,40.7611759
Manhattan,-73.9944115,40.7588966
Manhattan,-73.9941959,40.7606792
Manhattan,-73.9886781,40.766048
Manhattan,-73.9879835,40.7657743
Manhattan,-73.9879842,40.7657746
Manhattan,-73.9879849,40.7657749
Manhattan,-73.9881156,40.7655985
Manhattan,-73.98809920000001,40.7658231
Manhattan,-73.9882128,40.7658711
Manhattan,-73.98832639999999,40.765919
