Queens 421A Exempt Properties as of FINAL Roll FY'13/14,,,,,,,,,,,,,,
Neighborhood Name and Descriptive Data is as of Final 13/14,,,,,,,,,,,,,,
"Unit information first from RPAD, if missing then from VISION.",,,,,,,,,,,,,,
Building Class Category is based on Building Class as of Final 13/14,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE, RESIDENTIAL UNITS , COMMERCIAL UNITS , TOTAL UNITS , LAND SQUARE FEET , GROSS SQUARE FEET ,YEAR BUILT
4,ARVERNE                  ,03  3-FAMILY                                ,1,15910,29,C0,324 BEACH 66 STREET                      ,11692, 3 , -   , 3 ," 3,650 "," 3,171 ",1998
4,ARVERNE                  ,03  3-FAMILY                                ,1,15910,31,C0,328 BEACH 66 STREET                      ,11692, 3 , -   , 3 ," 2,217 "," 3,171 ",1998
4,ARVERNE                  ,03  3-FAMILY                                ,1,15910,32,C0,330 BEACH 66 STREET                      ,11692, 3 , -   , 3 ," 3,233 "," 3,171 ",1998
4,ARVERNE                  ,03  3-FAMILY                                ,1,15910,57,C0,3-29 BEACH 65 STREET                     ,11692, 3 , -   , 3 ," 14,270 "," 3,000 ",2006
4,ARVERNE                  ,03  3-FAMILY                                ,1,15910,64,C0,3-17 BEACH 65 STREET                     ,11692, 3 , -   , 3 ," 4,000 "," 3,000 ",2005
4,ARVERNE                  ,03  3-FAMILY                                ,1,15910,66,C0,3-11 BEACH 65 STREET                     ,11692, 3 , -   , 3 ," 15,236 "," 3,000 ",2006
4,ARVERNE                  ,03  3-FAMILY                                ,1,15913,88,C0,315 BEACH 66 STREET                      ,11692, 3 , -   , 3 ," 6,500 "," 3,171 ",1998
4,ARVERNE                  ,03  3-FAMILY                                ,1,15913,90,C0,311 BEACH 66 STREET                      ,11692, 3 , -   , 3 ," 2,217 "," 3,171 ",1998
4,ARVERNE                  ,03  3-FAMILY                                ,1,15913,92,C0,309 BEACH 66 STREET                      ,11692, 3 , -   , 3 ," 2,217 "," 3,171 ",1998
4,ARVERNE                  ,03  3-FAMILY                                ,1,15913,93,C0,307 BEACH 66 STREET                      ,11692, 3 , -   , 3 ," 2,217 "," 3,171 ",1998
4,ARVERNE                  ,03  3-FAMILY                                ,1,16081,104,C0,336 BEACH 70 STREET                      ,11692, 3 , -   , 3 ," 3,680 "," 3,375 ",2005
4,ARVERNE                  ,08  RENTALS - REGULATED                     ,2,15890,97,D3,3-09 BEACH 53 STREET                     ,11691, 16 , -   , 16 ," 10,800 "," 10,962 ",2004
4,ARVERNE                  ,08  RENTALS - REGULATED                     ,2,15915,63,D1,333 BEACH 67 STREET                      ,11692, 26 , -   , 26 ," 9,450 "," 17,662 ",2005
4,ARVERNE                  ,14  4-10 FAMILY RENTALS                     ,2A,15910,25,C2,BEACH 66 STREET                          ,0, 5 , -   , 5 ," 4,000 "," 3,942 ",2005
4,ASTORIA                  ,00  00                                      ,  ,657,1001,  ,31-32 38 STREET                          ,11103, 1 , -   , 1 , -   , 668 ,2008
4,ASTORIA                  ,00  00                                      ,  ,657,1002,  ,31-32 38 STREET                          ,11103, 1 , -   , 1 , -   , 849 ,2008
4,ASTORIA                  ,00  00                                      ,  ,657,1003,  ,31-32 38 STREET                          ,11103, 1 , -   , 1 , -   , 668 ,2008
4,ASTORIA                  ,00  00                                      ,  ,657,1004,  ,31-32 38 STREET                          ,11103, 1 , -   , 1 , -   , 849 ,2008
4,ASTORIA                  ,00  00                                      ,  ,657,1005,  ,31-32 38 STREET                          ,11103, 1 , -   , 1 , -   , 668 ,2008
4,ASTORIA                  ,00  00                                      ,  ,657,1006,  ,31-32 38 STREET                          ,11103, 1 , -   , 1 , -   , 849 ,2008
4,ASTORIA                  ,00  00                                      ,  ,657,1007,  ,31-32 38 STREET                          ,11103, 1 , -   , 1 , -   , 668 ,2008
4,ASTORIA                  ,00  00                                      ,  ,657,1008,  ,31-32 38 STREET                          ,11103, 1 , -   , 1 , -   , 849 ,2008
4,ASTORIA                  ,00  00                                      ,  ,657,1009,  ,31-32 38 STREET                          ,11103, 1 , -   , 1 , -   , 445 ,2008
4,ASTORIA                  ,00  00                                      ,  ,657,1010,  ,31-32 38 STREET                          ,11103, 1 , -   , 1 , -   , 645 ,2008
4,ASTORIA                  ,00  00                                      ,  ,657,1011,  ,31-32 38 STREET                          ,11103, -   , 1 , 1 , -   ," 1,758 ",2008
4,ASTORIA                  ,00  00                                      ,  ,657,1012,  ,31-32 38 STREET                          ,11103, -   , 1 , 1 , -   , 68 ,2008
4,ASTORIA                  ,00  00                                      ,  ,657,1013,  ,31-32 38 STREET                          ,11103, -   , 1 , 1 , -   , 61 ,2008
4,ASTORIA                  ,00  00                                      ,  ,657,1014,  ,31-32 38 STREET                          ,11103, -   , 1 , 1 , -   , 58 ,2008
4,ASTORIA                  ,00  00                                      ,  ,657,1015,  ,31-32 38 STREET                          ,11103, -   , 1 , 1 , -   , 91 ,2008
4,ASTORIA                  ,00  00                                      ,  ,657,1016,  ,31-32 38 STREET                          ,11103, -   , 1 , 1 , -   , 66 ,2008
4,ASTORIA                  ,00  00                                      ,  ,657,1017,  ,31-32 38 STREET                          ,11103, -   , 1 , 1 , -   , 54 ,2008
4,ASTORIA                  ,03  3-FAMILY                                ,1,519,24,C0,31-41 12 STREET                          ,11106, 3 , -   , 3 ," 2,846 "," 5,360 ",2004
4,ASTORIA                  ,03  3-FAMILY                                ,1,519,35,C0,12-28 31 DRIVE                           ,11106, 3 , -   , 3 ," 2,207 "," 3,552 ",2005
4,ASTORIA                  ,03  3-FAMILY                                ,1,566,25,C0,32-09 23 STREET                          ,11106, 3 , -   , 3 ," 3,241 "," 3,395 ",1998
4,ASTORIA                  ,03  3-FAMILY                                ,1,566,26,C0,32-07 23 STREET                          ,11106, 3 , -   , 3 ," 2,020 "," 3,395 ",1998
4,ASTORIA                  ,03  3-FAMILY                                ,1,566,27,C0,32-05 23 STREET                          ,11106, 3 , -   , 3 ," 2,058 "," 3,395 ",1998
4,ASTORIA                  ,03  3-FAMILY                                ,1,566,28,C0,32-01 23 STREET                          ,11106, 3 , -   , 3 ," 3,081 "," 4,560 ",1998
4,ASTORIA                  ,03  3-FAMILY                                ,1,590,16,C0,30-88 30 STREET                          ,11102, 3 , -   , 3 ," 3,176 "," 8,856 ",2005
4,ASTORIA                  ,03  3-FAMILY                                ,1,596,64,C0,26-44 29 STREET                          ,11102, 3 , -   , 3 ," 2,205 "," 4,043 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,596,65,C0,26-46 29 STREET                          ,11102, 3 , -   , 3 ," 2,592 "," 4,133 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,597,86,C0,26-31 29 STREET                          ,11102, 3 , -   , 3 ," 1,575 "," 3,678 ",2001
4,ASTORIA                  ,03  3-FAMILY                                ,1,620,57,C0,25-49 32 STREET                          ,11102, 3 , -   , 3 ," 2,921 "," 4,750 ",1998
4,ASTORIA                  ,03  3-FAMILY                                ,1,651,133,C0,30-31 36 STREET                          ,11103, 3 , -   , 3 ," 2,000 "," 2,700 ",1925
4,ASTORIA                  ,03  3-FAMILY                                ,1,663,26,C0,28-14 41 STREET                          ,11103, 3 , -   , 3 ," 2,015 "," 3,640 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,663,27,C0,28-18 41 STREET                          ,11103, 3 , -   , 3 ," 2,011 "," 3,640 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,663,126,C0,28-16 41 STREET                          ,11103, 3 , -   , 3 ," 2,013 "," 3,640 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,663,127,C0,28-20 41 STREET                          ,11103, 3 , -   , 3 ," 2,010 "," 3,640 ",2000
