Staten Island 421A Exempt Properties as of FINAL Roll FY'13/14,,,,,,,,,,,,,,
Neighborhood Name and Descriptive Data is as of Final 13/14,,,,,,,,,,,,,,
"Unit information first from RPAD, if missing then from VISION.",,,,,,,,,,,,,,
Building Class Category is based on Building Class as of Final 13/14,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE, RESIDENTIAL UNITS , COMMERCIAL UNITS , TOTAL UNITS , LAND SQUARE FEET , GROSS SQUARE FEET ,YEAR BUILT
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1001,R3,1A ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1002,R3,2A ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1003,R3,3A ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1004,R3,1B ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1005,R3,2B ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1006,R3,3B ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1007,R3,1C ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1008,R3,2C ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1009,R3,3C ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1010,R3,1D ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1011,R3,2D ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1012,R3,3D ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1013,R3,1E ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1014,R3,2E ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1015,R3,3E ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1016,R3,1F ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1017,R3,2F ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
5,CONCORD                  ,04  CONDOMINIUMS                            ,1A,2998,1018,R3,3F ROCKWELL AVENUE                       ,10305, 1 , -   , 1 , -   , -   ,2010
